web-scraper-order,web-scraper-start-url,price,location,address,type,nobeds,nobath,sqft_price,size,pagination,pagination-href
"1647924423-17570","https://www.edgeprop.my/buy/johor/all-residential?page=29","RM 458,000EdgeProp Only","Taman Mutiara Rini","Off Jalan Gelang Patah, Skudai, Johor","Landed","4 beds","3 bath","RM -","- sqft","",""
"1647920648-5391","https://www.edgeprop.my/buy/johor/all-residential?page=638","RM 160,000","Full Loan Single Storey Low Cost","Ulu Tiram, Johor","Landed","3 beds","1 bath","RM -","- sqft","",""
"1647919831-2496","https://www.edgeprop.my/buy/johor/all-residential?page=782","RM 440,000EdgeProp Only","Taman Daya","Off Jalan Daya, Johor Bahru, Johor","Landed","3 beds","2 bath","2 carpark","RM 305/sqft","",""
"1647923052-13130","https://www.edgeprop.my/buy/johor/all-residential?page=251","RM 968,000EdgeProp Only","Imperia @ Puteri Harbour","Jalan Laksamana 1, Off Persiaran Puteri Selatan, Kota Iskandar, Johor","Non Landed","3 + 1 beds","4 bath","2 carpark","RM 529/sqft","",""
"1647922458-11545","https://www.edgeprop.my/buy/johor/all-residential?page=330","RM 980,000EdgeProp Only","Senibong Cove","Jalan Persiaran Senibong, Permas Jaya, Masai, Johor","Landed","4 + 1 beds","4 bath","2 carpark","RM -","",""
"1647922570-11832","https://www.edgeprop.my/buy/johor/all-residential?page=316","RM 940,000EdgeProp Only","Setia Eco Cascadia","Jalan Eco Cascadia, Johor Bahru, Johor","Landed","5 + 1 beds","6 bath","RM 315/sqft","2,982 sqft","",""
"1647922388-11285","https://www.edgeprop.my/buy/johor/all-residential?page=343","RM 638,000EdgeProp Only","Taman Perling","Jalan Camar, Jalan Undan, Jalan Pekaka, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 202/sqft","3,150 sqft","",""
"1647924511-17831","https://www.edgeprop.my/buy/johor/all-residential?page=16","RM 350,000EdgeProp Only","Taman Bukit Flora","Jalan Bukit Flora 2/4, Batu Pahat, Johor","Landed","4 beds","3 bath","RM -","- sqft","",""
"1647924272-16986","https://www.edgeprop.my/buy/johor/all-residential?page=58","RM 330,000EdgeProp Only","Molek Regency","Persiaran Bumi Hijau, Johor Bahru, Johor","Non Landed","Studio","1 bath","1 carpark","RM 515/sqft","",""
"1647922438-11466","https://www.edgeprop.my/buy/johor/all-residential?page=334","RM 590,000EdgeProp Only","Taman Nusa Indah","Jalan Ceria, Iskandar Puteri (Nusajaya), Johor","Landed","4 beds","3 bath","RM 383/sqft","1,540 sqft","",""
"1647924217-16760","https://www.edgeprop.my/buy/johor/all-residential?page=69","RM 260,000EdgeProp Only","Indah Court Apartment","Jalan 23/2, Taman Bukit Indah, Bukit Indah, Johor","Non Landed","- beds","- bath","RM 305/sqft","850 sqft","",""
"1647921095-6944","https://www.edgeprop.my/buy/johor/all-residential?page=560","RM 430,000EdgeProp Only","Taman Mutiara Rini","Off Jalan Gelang Patah, Skudai, Johor","Landed","3 beds","3 bath","RM 228/sqft","1,883 sqft","",""
"1647922198-10560","https://www.edgeprop.my/buy/johor/all-residential?page=379","RM 250,000","TAMAN ANGGERIK BANDAR TENGGARA KOTA TINGGI","JALAN ANGGERIK 3/5, Kota Tinggi, Johor","Landed","3 beds","2 bath","RM 84/sqft","2,967 sqft","",""
"1647920804-5959","https://www.edgeprop.my/buy/johor/all-residential?page=609","RM 250,000","Taman Manis Kelapa Sawit, Kulai Single Storey","Taman Manis Kelapa Sawit, Kulai, Kulai, Johor","Landed","3 beds","2 bath","RM 210/sqft","1,190 sqft","",""
"1647919491-1369","https://www.edgeprop.my/buy/johor/all-residential?page=839","RM 680,000","Bandar Dato Onn","Jalan Dato Onn, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 485/sqft","1,400 sqft","",""
"1647921027-6675","https://www.edgeprop.my/buy/johor/all-residential?page=573","RM 300,000EdgeProp Only","The Senai Garden","Jalan Senai Impian Utama, Taman Impian Senai, Senai, Johor","Non Landed","2 beds","2 bath","RM 398/sqft","753 sqft","",""
"1647920809-5982","https://www.edgeprop.my/buy/johor/all-residential?page=608","RM 188,000","FASING POOL : PALAZIO APARTMENT / STUDIO UNIT","Johor Bahru, Johor","Non Landed","1 beds","1 bath","1 carpark","RM 414/sqft","",""
"1647922370-11227","https://www.edgeprop.my/buy/johor/all-residential?page=346","RM 800,000EdgeProp Only","Horizon Hills","Jalan Eka, Horizon Hills, Johor","Landed","4 beds","4 bath","RM -","- sqft","",""
"1647922182-10507","https://www.edgeprop.my/buy/johor/all-residential?page=382","RM 575,000","Taman Setia Indah","Jalan Setia, Johor Bahru, Johor","Landed","4 beds","3 bath","RM -","- sqft","",""
"1647921123-7041","https://www.edgeprop.my/buy/johor/all-residential?page=555","RM 698,000EdgeProp Only","2 story Terrance at Dato Onn for Sale","Jalna Perjiranan 11/x, Johor Bahru, Johor","Landed","4 beds","4 bath","2 carpark","RM 498/sqft","",""
"1647920526-4945","https://www.edgeprop.my/buy/johor/all-residential?page=660","RM 550,000","Taman Pelangi Indah","Ulu Tiram, Ulu Tiram, Johor","Landed","3 beds","2 bath","RM 312/sqft","1,760 sqft","",""
"1647919694-2033","https://www.edgeprop.my/buy/johor/all-residential?page=806","RM 478,000","Taman Molek","Off Persiaran Bumi Hijau, Johor Bahru, Johor","Landed","4 beds","2 bath","RM 265/sqft","1,800 sqft","",""
"1647921663-8889","https://www.edgeprop.my/buy/johor/all-residential?page=463","RM 568,000","Taman Setia Indah","Jalan Setia, Johor Bahru, Johor","Landed","5 beds","3 bath","RM 485/sqft","1,170 sqft","",""
"1647920724-5682","https://www.edgeprop.my/buy/johor/all-residential?page=623","RM 495,805","Double Storey Taman Mutiara Gading Batu Pahat","Batu Pahat, Johor","Landed","4 beds","4 bath","RM -","- sqft","",""
"1647921101-6964","https://www.edgeprop.my/buy/johor/all-residential?page=559","RM 398,000EdgeProp Only","Taman Pulai Indah","Off Persiaran Pulai Indah, Kangkar Pulai, Johor","Landed","4 beds","3 bath","RM 284/sqft","1,400 sqft","",""
"1647919557-1559","https://www.edgeprop.my/buy/johor/all-residential?page=829","RM 350,000EdgeProp Only","Seri Austin Residence","Jalan Seri Austin 1/17, Taman Seri Austin, Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 394/sqft","888 sqft","",""
"1647920157-3586","https://www.edgeprop.my/buy/johor/all-residential?page=728","RM 258,000EdgeProp Only","Indah Court Apartment","Jalan 23/2, Taman Bukit Indah, Bukit Indah, Johor","Non Landed","3 beds","2 bath","1 carpark","RM 270/sqft","",""
"1647919126-18","https://www.edgeprop.my/buy/johor/all-residential?page=906","RM 310,000","Residensi Masai (Parc Regency)","Jalan Masai Jaya, Off Jalan Masai Baru, Masai, Johor","Non Landed","2 beds","2 bath","RM 382/sqft","810 sqft","",""
"1647922370-11225","https://www.edgeprop.my/buy/johor/all-residential?page=346","RM 350,000","Taman Kota Masai","Taman Kota Masai, Pasir Gudang, Johor","Landed","3 beds","2 bath","2 carpark","RM -","",""
"1647921689-8973","https://www.edgeprop.my/buy/johor/all-residential?page=459","RM 699,000","Taman Pelangi, Plentong","Johor Bahru, Johor","Landed","6 beds","4 bath","RM -","- sqft","",""
"1647922187-10521","https://www.edgeprop.my/buy/johor/all-residential?page=381","RM 450,000","Taman Bukit Kempas","Jalan Bukit Kempas, Johor Bahru, Johor","Landed","3 beds","2 bath","RM -","- sqft","",""
"1647921841-9422","https://www.edgeprop.my/buy/johor/all-residential?page=436","RM 888,000","Eco Summers","off Jalan Daya, Johor Bahru, Johor","Landed","4 beds","4 bath","2 carpark","RM 504/sqft","",""
"1647920185-3685","https://www.edgeprop.my/buy/johor/all-residential?page=723","RM 465,000","The Caspian @ Meridin Bayvue","Masai, Johor","Non Landed","3 beds","2 bath","RM 474/sqft","980 sqft","",""
"1647922079-10183","https://www.edgeprop.my/buy/johor/all-residential?page=398","RM 628,000","Jalan Nusa Bestari 2","Skudai, Johor","Landed","4 beds","2 bath","RM -","- sqft","",""
"1647920735-5715","https://www.edgeprop.my/buy/johor/all-residential?page=621","RM 375,000","Taman Universiti","Jalan Pendidikan; Jalan Kejayaan; Jalan Pertanian, Skudai, Johor","Landed","3 beds","1 bath","RM 288/sqft","1,300 sqft","",""
"1647922984-12901","https://www.edgeprop.my/buy/johor/all-residential?page=262","RM 330,000EdgeProp Only","Scott Towers","Jalan Tani Off Jalan Datin Halimah, Larkin, Johor Bahru, Johor","Non Landed","3 beds","2 bath","1 carpark","RM 339/sqft","",""
"1647919276-587","https://www.edgeprop.my/buy/johor/all-residential?page=878","RM 110,000","Taman Skudai Baru","Jalan Hang Jebat, Skudai, Johor","Non Landed","2 beds","2 bath","1 carpark","RM 171/sqft","",""
"1647922337-11097","https://www.edgeprop.my/buy/johor/all-residential?page=352","RM 237,575","D'Lagoon, Taman Seri Austin","JALAN SERI AUSTIN ,BANDAR DATO ONN, Johor Bahru, Johor","Non Landed","3 beds","2 bath","2 carpark","RM 361/sqft","",""
"1647919276-574","https://www.edgeprop.my/buy/johor/all-residential?page=878","RM 258,000","Bandar Seri Alam","Bandar Seri Alam 81750 Masai Johor, Johor Bahru, Johor","Landed","4 beds","2 bath","RM 322/sqft","800 sqft","",""
"1647923807-15389","https://www.edgeprop.my/buy/johor/all-residential?page=138","RM 248,000EdgeProp Only","Taman Intan, Ulu Tiram","Jalan Baiduri, Ulu Tiram, Johor","Landed","3 beds","2 bath","RM 225/sqft","1,099 sqft","",""
"1647921657-8869","https://www.edgeprop.my/buy/johor/all-residential?page=464","RM 458,000","Taman Nusa Damai","Off Persiaran Damai, Pasir Gudang, Johor","Landed","4 beds","3 bath","RM -","- sqft","",""
"1647921123-7036","https://www.edgeprop.my/buy/johor/all-residential?page=555","RM 440,000EdgeProp Only","Taman Nusa Bestari 2","Off Jalan Nusa Bestari, Skudai, Johor","Landed","3 beds","2 bath","2 carpark","RM -","",""
"1647924247-16880","https://www.edgeprop.my/buy/johor/all-residential?page=63","RM 598,000EdgeProp Only","Taman Bukit Indah","Jalan Indah, Johor Bahru, Johor","Landed","5 beds","4 bath","RM -","- sqft","",""
"1647923723-15082","https://www.edgeprop.my/buy/johor/all-residential?page=153","RM 255,000EdgeProp Only","Palm Court Town House","Jalan Merak 1/3 Off Jalan Putra 1, Bandar Putra IOI Kulai, Kulai, Johor","Landed","4 beds","2 bath","RM 233/sqft","1,094 sqft","",""
"1647923957-15867","https://www.edgeprop.my/buy/johor/all-residential?page=114","RM 215,000EdgeProp Only","KSL Residences @ Daya","Jalan Daya, Johor Bahru, Johor","Non Landed","Studio","1 bath","RM 471/sqft","456 sqft","",""
"1647924030-16129","https://www.edgeprop.my/buy/johor/all-residential?page=101","RM 195,000EdgeProp Only","Larkin Utama","Jalan Tun Abdul Razak, Johor Bahru, Johor","Non Landed","2 beds","2 bath","1 carpark","RM 166/sqft","",""
"1647920151-3571","https://www.edgeprop.my/buy/johor/all-residential?page=729","RM 1,150,000EdgeProp Only","Taman Austin Heights","Johor Bahru, Johor","Landed","4 + 1 beds","5 bath","RM 359/sqft","3,200 sqft","",""
"1647922192-10545","https://www.edgeprop.my/buy/johor/all-residential?page=380","RM 378,000","Taman Kota Masai","Taman Kota Masai, Pasir Gudang, Johor","Landed","3 beds","2 bath","RM 290/sqft","1,300 sqft","",""
"1647922041-10043","https://www.edgeprop.my/buy/johor/all-residential?page=405","RM 245,000","Taman Damai Jaya","Jalan Makmur Taman Damai Jaya, Skudai, Johor","Landed","2 beds","2 bath","RM -","- sqft","",""
"1647920460-4700","https://www.edgeprop.my/buy/johor/all-residential?page=672","RM 428,000","Taman Scientex Utama","Johor, Senai, Johor","Landed","4 beds","3 bath","RM 396/sqft","1,080 sqft","",""
"1647922409-11357","https://www.edgeprop.my/buy/johor/all-residential?page=339","RM 308,000EdgeProp Only","Residensi Masai (Parc Regency)","Jalan Masai Jaya, Off Jalan Masai Baru, Masai, Johor","Non Landed","2 beds","2 bath","RM 380/sqft","810 sqft","",""
"1647919997-3063","https://www.edgeprop.my/buy/johor/all-residential?page=754","RM 600,000EdgeProp Only","Bandar Dato Onn","Jalan Dato Onn, Johor Bahru, Johor","Landed","4 beds","4 bath","RM 272/sqft","2,200 sqft","",""
"1647921898-9586","https://www.edgeprop.my/buy/johor/all-residential?page=428","RM 203,000","Prima Regency","Jalan Masai Baru, Plentong, Johor","Non Landed","Studio","1 bath","RM 359/sqft","565 sqft","",""
"1647919235-420","https://www.edgeprop.my/buy/johor/all-residential?page=886","RM 190,000","Taman Ehsan Jaya","Jalan EJ Off Jalan Kemuning, Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 253/sqft","750 sqft","",""
"1647924257-16916","https://www.edgeprop.my/buy/johor/all-residential?page=61","RM 498,000EdgeProp Only","Bandar Baru Permas Jaya","Jalan Permas, Permas Jaya/Senibong, Johor","Landed","4 beds","3 bath","2 carpark","RM -","",""
"1647921835-9412","https://www.edgeprop.my/buy/johor/all-residential?page=437","RM 390,000","Harmoni Vista 2","Jalan Panchor, Pagoh, Johor","Landed","3 beds","3 bath","RM 299/sqft","1,303 sqft","",""
"1647919181-214","https://www.edgeprop.my/buy/johor/all-residential?page=896","RM 344,000","Jalan Subang","Tampoi, Johor","Landed","4 beds","4 bath","RM -","- sqft","",""
"1647921962-9755","https://www.edgeprop.my/buy/johor/all-residential?page=419","RM 228,000","Taman Puteri Wangsa","Jalan Kembia; Jalan Beladau; Jalan Lading; Jalan Jenawi, Ulu Tiram, Johor","Landed","2 beds","1 bath","RM 296/sqft","770 sqft","",""
"1647921756-9171","https://www.edgeprop.my/buy/johor/all-residential?page=449","RM 700,000","Jalan Idaman 8/4","Jalan Idaman 8, Iskandar Puteri (Nusajaya), Johor","Landed","4 + 1 beds","4 bath","4 carpark","RM 424/sqft","",""
"1647920628-5296","https://www.edgeprop.my/buy/johor/all-residential?page=642","RM 988,000","Taman Tasek Aspira Double Storey Corner Lot","Gelang Patah, Johor","Landed","4 + 1 beds","4 bath","RM 276/sqft","3,573 sqft","",""
"1647923493-14365","https://www.edgeprop.my/buy/johor/all-residential?page=189","RM 588,000EdgeProp Only","Taman Scientex Kulai","Jalan Scientex, Kulai, Johor","Landed","4 beds","4 bath","RM 262/sqft","2,240 sqft","",""
"1647919709-2060","https://www.edgeprop.my/buy/johor/all-residential?page=804","RM 466,000","Bandar Baru Seri Alam","Persiaran Seri Alam, Masai, Johor","Landed","5 beds","3 bath","RM 264/sqft","1,760 sqft","",""
"1647922253-10787","https://www.edgeprop.my/buy/johor/all-residential?page=368","RM 499,000EdgeProp Only","Taman Nusa Bayu","Iskandar Puteri (Nusajaya), Johor","Landed","4 beds","3 bath","RM 356/sqft","1,400 sqft","",""
"1647920537-4987","https://www.edgeprop.my/buy/johor/all-residential?page=658","RM 660,000EdgeProp Only","Taman Mutiara Rini","Off Jalan Gelang Patah, Skudai, Johor","Landed","4 beds","3 bath","RM 471/sqft","1,400 sqft","",""
"1647924115-16391","https://www.edgeprop.my/buy/johor/all-residential?page=88","RM 128,000EdgeProp Only","Rumah Pangsa Sri Orkid","Jalan EJ 8/2, Taman Ehsan Jaya, Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 170/sqft","750 sqft","",""
"1647920286-4056","https://www.edgeprop.my/buy/johor/all-residential?page=704","RM 478,000EdgeProp Only","Taman Setia Indah","Jalan Setia, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 408/sqft","1,170 sqft","",""
"1647921891-9564","https://www.edgeprop.my/buy/johor/all-residential?page=429","RM 250,000","Austin Suites","Jalan Austin Perdana 2/1, Taman Austin Perdana, Johor Bahru, Johor","Non Landed","1 beds","1 bath","RM 379/sqft","658 sqft","",""
"1647920918-6348","https://www.edgeprop.my/buy/johor/all-residential?page=590","RM 438,000","Bandar Putra","Jalan Nuri, Kulai, Johor","Landed","4 beds","3 bath","RM 284/sqft","1,540 sqft","",""
"1647922312-10998","https://www.edgeprop.my/buy/johor/all-residential?page=357","RM 570,000","Setia Eco Gardens","Iskander, Nusajaya, Gelang Patah, Johor","Landed","4 beds","4 bath","RM -","- sqft","",""
"1647920804-5968","https://www.edgeprop.my/buy/johor/all-residential?page=609","RM 498,000","Taman Daya","Off Jalan Daya, Johor Bahru, Johor","Landed","3 beds","2 bath","RM 296/sqft","1,680 sqft","",""
"1647924405-17512","https://www.edgeprop.my/buy/johor/all-residential?page=32","RM 520,000EdgeProp Only","Taman Johor Jaya","Off Lebuhraya Pasir Gudang, Johor Bahru, Johor","Landed","4 beds","3 bath","RM -","- sqft","",""
"1647923565-14552","https://www.edgeprop.my/buy/johor/all-residential?page=180","RM 1,200,000EdgeProp Only","Taman Amira","Johor Bahru, Johor","Landed","4 + 1 beds","5 bath","2 carpark","RM 375/sqft","",""
"1647920835-6057","https://www.edgeprop.my/buy/johor/all-residential?page=604","RM 585,000","Taman Impian Emas","Off Persiaran Impian Emas, Skudai, Johor","Landed","4 beds","2 bath","RM 228/sqft","2,560 sqft","",""
"1647920781-5894","https://www.edgeprop.my/buy/johor/all-residential?page=612","RM 378,000","Bandar Baru Kangkar Pulai","Jalan Pulai Harmoni, Kangkar Pulai, Johor","Landed","4 beds","2 bath","RM 245/sqft","1,540 sqft","",""
"1647923672-14914","https://www.edgeprop.my/buy/johor/all-residential?page=162","RM 1,100,000EdgeProp Only","Eco Spring","off Jalan Daya, Johor Bahru, Johor","Landed","4 beds","5 bath","RM 429/sqft","2,560 sqft","",""
"1647919601-1710","https://www.edgeprop.my/buy/johor/all-residential?page=822","RM 645,000","Taman Mutiara Utama","Jalan Gelang Patah, Skudai, Johor","Landed","4 beds","3 bath","RM 496/sqft","1,300 sqft","",""
"1647924442-17650","https://www.edgeprop.my/buy/johor/all-residential?page=25","RM 330,000EdgeProp Only","Frinza Court","Jalan Abdul Samad, Johor Bahru, Johor","Non Landed","3 beds","3 bath","1 carpark","RM 245/sqft","",""
"1647920770-5866","https://www.edgeprop.my/buy/johor/all-residential?page=614","RM 3,150,000","Bayou Creek, Leisure Farm","Bayou Creek, Leisure Farm, Jalan Tanjung Kupang, Kampung Tiram, 81550 Gelang Patah, Johor, Gelang Patah, Johor","Landed","5 + 1 beds","6 bath","RM 534/sqft","5,890 sqft","",""
"1647920924-6369","https://www.edgeprop.my/buy/johor/all-residential?page=589","RM 499,000","Taman Bertuah","Jalan Mutiara, Ulu Tiram, Johor","Landed","4 beds","2 bath","RM 100/sqft","4,962 sqft","",""
"1647920389-4441","https://www.edgeprop.my/buy/johor/all-residential?page=685","RM 620,000","Paragon Residences","Jalan Tengku Puteri 1, Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 662/sqft","936 sqft","",""
"1647919298-668","https://www.edgeprop.my/buy/johor/all-residential?page=874","RM 108,000","Bandar Selesa Jaya","Skudai, Johor","Non Landed","2 beds","1 bath","RM 208/sqft","517 sqft","",""
"1647920207-3768","https://www.edgeprop.my/buy/johor/all-residential?page=719","RM 588,000","JP Perdana (Jaya Putra Perdana)","Johor Bahru, Johor","Landed","3 beds","2 bath","RM -","- sqft","",""
"1647923177-13412","https://www.edgeprop.my/buy/johor/all-residential?page=237","RM 330,000EdgeProp Only","Taman Seri Orkid Double Storey Medium Low Cost","Skudai, Johor","Landed","3 beds","2 bath","RM -","- sqft","",""
"1647919513-1442","https://www.edgeprop.my/buy/johor/all-residential?page=835","RM 458,000EdgeProp Only","Taman Ungku Tun Aminah","Jalan Tun Aminah, Skudai, Johor","Landed","3 beds","2 bath","RM 285/sqft","1,606 sqft","",""
"1647923026-13038","https://www.edgeprop.my/buy/johor/all-residential?page=255","RM 348,000EdgeProp Only","Taman Scientex","Off Jalan Persiaran Scientex, Pasir Gudang, Johor","Landed","3 beds","2 bath","2 carpark","RM 362/sqft","",""
"1647924423-17557","https://www.edgeprop.my/buy/johor/all-residential?page=29","RM 260,000EdgeProp Only","Taman Johor Jaya","Off Lebuhraya Pasir Gudang, Johor Bahru, Johor","Landed","2 beds","2 bath","RM -","- sqft","",""
"1647921835-9400","https://www.edgeprop.my/buy/johor/all-residential?page=437","RM 195,000","Dwi Mahkota","Jalan Tampoi, Taman Orkid, Johor Bahru, Johor","Non Landed","2 beds","1 bath","RM 243/sqft","802 sqft","",""
"1647923197-13466","https://www.edgeprop.my/buy/johor/all-residential?page=234","RM 458,000EdgeProp Only","Taman Melawati","Jalan Melawati, Skudai, Johor","Landed","5 beds","3 bath","RM 297/sqft","1,540 sqft","",""
"1647919388-989","https://www.edgeprop.my/buy/johor/all-residential?page=858","RM 965,000","Taman Sentosa","Jalan Sutera, Johor Bahru, Johor","Landed","5 beds","3 bath","RM 268/sqft","3,600 sqft","",""
"1647919794-2371","https://www.edgeprop.my/buy/johor/all-residential?page=789","RM 888,000EdgeProp Only","Bandar Dato Onn","Jalan Dato Onn, Johor Bahru, Johor","Landed","4 beds","4 bath","RM 302/sqft","2,940 sqft","",""
"1647919727-2121","https://www.edgeprop.my/buy/johor/all-residential?page=801","RM 650,000","Taman Perling","Jalan Camar, Jalan Undan, Jalan Pekaka, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 215/sqft","3,010 sqft","",""
"1647922620-11949","https://www.edgeprop.my/buy/johor/all-residential?page=310","RM 873,000","API Api Pontian Johor 5.1 acres sales","Pontian, Johor","Landed","- beds","- bath","RM -","- sqft","",""
"1647922161-10417","https://www.edgeprop.my/buy/johor/all-residential?page=386","RM 300,000","Seasons Luxury Apartments @ Amara Larkin","Jalan Tun Abdul Razak, Johor Bahru, Johor","Non Landed","1 beds","1 bath","RM 437/sqft","685 sqft","",""
"1647923962-15892","https://www.edgeprop.my/buy/johor/all-residential?page=113","RM 430,000EdgeProp Only","Taman Jaya","Johor Bahru, Johor","Landed","4 beds","3 bath","RM 279/sqft","1,540 sqft","",""
"1647923752-15194","https://www.edgeprop.my/buy/johor/all-residential?page=148","RM 599,000EdgeProp Only","Taman Bukit Indah","Jalan Indah, Johor Bahru, Johor","Landed","3 beds","3 bath","RM 427/sqft","1,400 sqft","",""
"1647923627-14764","https://www.edgeprop.my/buy/johor/all-residential?page=169","RM 800,000EdgeProp Only","Setia Eco Cascadia","Jalan Eco Cascadia, Johor Bahru, Johor","Landed","5 beds","3 bath","RM 529/sqft","1,510 sqft","",""
"1647923717-15068","https://www.edgeprop.my/buy/johor/all-residential?page=154","RM 395,000EdgeProp Only","Taman Sri Pulai Perdana","Persiaran Pulai Perdana, Skudai, Johor","Landed","3 beds","2 bath","RM 256/sqft","1,540 sqft","",""
"1647921682-8939","https://www.edgeprop.my/buy/johor/all-residential?page=460","RM 465,000","Taman Mutiara Rini","Off Jalan Gelang Patah, Skudai, Johor","Landed","3 beds","3 bath","RM 430/sqft","1,080 sqft","",""
"1647922253-10792","https://www.edgeprop.my/buy/johor/all-residential?page=368","RM 360,000EdgeProp Only","Taman Universiti","Jalan Pendidikan; Jalan Kejayaan; Jalan Pertanian, Skudai, Johor","Landed","3 beds","2 bath","RM 276/sqft","1,300 sqft","",""
"1647920557-5067","https://www.edgeprop.my/buy/johor/all-residential?page=654","RM 410,000","Jalan Gemilang, Taman Gemilang, KCC Kulai","Jalan Gemilang, Kulai, Johor","Landed","3 beds","2 bath","RM 266/sqft","1,540 sqft","",""
"1647920362-4335","https://www.edgeprop.my/buy/johor/all-residential?page=690","RM 1,080,000EdgeProp Only","Clarinet @ Taman Desa Tebrau","Jalan Desa Tebrau, Johor Bahru, Johor","Landed","5 beds","4 bath","RM 296/sqft","3,638 sqft","",""
"1647921962-9762","https://www.edgeprop.my/buy/johor/all-residential?page=419","RM 458,000","Ulu Tiram Taman Murni single Storey Semi D Terrenc","Ulu Tiram, Johor","Landed","4 beds","3 bath","4 carpark","RM 134/sqft","",""
"1647921454-8183","https://www.edgeprop.my/buy/johor/all-residential?page=498","RM 255,000EdgeProp Only","Impian Senibong","Jalan Persiaran Senibong, Permas Jaya/Senibong, Johor","Non Landed","3 beds","2 bath","RM 298/sqft","854 sqft","",""
"1647920098-3363","https://www.edgeprop.my/buy/johor/all-residential?page=739","RM 180,000","Sri Lanang Flat (Rumah Pangsa Sri Lanang)","Taman Desa Tebrau, 81100 Johor Bahru, Johor, Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 240/sqft","750 sqft","",""
"1647920809-5988","https://www.edgeprop.my/buy/johor/all-residential?page=608","RM 370,000","Molek Regency","Persiaran Bumi Hijau, Johor Bahru, Johor","Non Landed","Studio","1 bath","RM 578/sqft","640 sqft","",""
"1647923637-14778","https://www.edgeprop.my/buy/johor/all-residential?page=168","RM 380,000EdgeProp Only","Mewah View Luxurious Apartments","Jalan Mewah Ria 2/10, Taman Bukit Mewah, Johor Bahru, Johor","Non Landed","4 + 1 beds","4 bath","2 carpark","RM -","",""
"1647922348-11146","https://www.edgeprop.my/buy/johor/all-residential?page=350","RM 440,000","Taman Pulai Indah","Off Persiaran Pulai Indah, Kangkar Pulai, Johor","Landed","4 beds","3 bath","2 carpark","RM 376/sqft","",""
"1647921208-7355","https://www.edgeprop.my/buy/johor/all-residential?page=539","RM 2,200,000EdgeProp Only","Austin Hills","Taman Mount Austin, Johor Bahru, Johor","Landed","6 beds","5 bath","6 carpark","RM 531/sqft","",""
"1647922317-11024","https://www.edgeprop.my/buy/johor/all-residential?page=356","RM 78,000EdgeProp Only","Pangsapuri Nuri, Bandar Baru Kangkar Pulai","Jalan Pulau Harmoni 1, Kangkar Pulai, Johor","Non Landed","2 beds","1 bath","1 carpark","RM 154/sqft","",""
"1647921750-9151","https://www.edgeprop.my/buy/johor/all-residential?page=450","RM 528,000","Taman Desa Cemerlang","Off Jalan Tanjong, Ulu Tiram, Johor","Landed","4 + 1 beds","3 bath","2 carpark","RM 377/sqft","",""
"1647919438-1171","https://www.edgeprop.my/buy/johor/all-residential?page=849","RM 698,000","Taman Impian Emas","Off Persiaran Impian Emas, Skudai, Johor","Landed","4 beds","4 bath","RM 363/sqft","1,920 sqft","",""
"1647920213-3780","https://www.edgeprop.my/buy/johor/all-residential?page=718","RM 458,000","Taman Murni","Ulu Tiram, Johor","Landed","4 beds","3 bath","RM 134/sqft","3,400 sqft","",""
"1647919591-1667","https://www.edgeprop.my/buy/johor/all-residential?page=824","RM 300,000","Kipark Apartment","Jalan Titiwangsa Utama, Taman Tampoi Indah, Tampoi, Johor","Non Landed","3 beds","2 bath","RM 352/sqft","850 sqft","",""
"1647920008-3082","https://www.edgeprop.my/buy/johor/all-residential?page=753","RM 514,000","Country Garden @ Danga Bay","Lebuhraya Sultan Iskandar, Johor Bahru, Johor","Non Landed","1 beds","1 bath","1 carpark","RM 1,103/sqft","",""
"1647923904-15733","https://www.edgeprop.my/buy/johor/all-residential?page=121","RM 920,000EdgeProp Only","Taman Nusa Sentral","Jalan Sentral, Iskandar Puteri (Nusajaya), Johor","Landed","6 beds","6 bath","RM 240/sqft","3,824 sqft","",""
"1647919426-1120","https://www.edgeprop.my/buy/johor/all-residential?page=851","RM 578,000","Taman Ehsan Jaya","Jalan EJ Off Jalan Kemuning, Johor Bahru, Johor","Landed","4 beds","5 bath","RM 412/sqft","1,400 sqft","",""
"1647923338-13838","https://www.edgeprop.my/buy/johor/all-residential?page=215","RM 330,000EdgeProp Only","Residensi Masai (Parc Regency)","Jalan Masai Jaya, Off Jalan Masai Baru, Masai, Johor","Non Landed","2 beds","2 bath","RM 407/sqft","810 sqft","",""
"1647923785-15295","https://www.edgeprop.my/buy/johor/all-residential?page=142","RM 458,000EdgeProp Only","Taman Johor","Off Jalan Skudai, Johor Bahru, Johor","Landed","3 beds","2 bath","2 carpark","RM 297/sqft","",""
