web-scraper-order,web-scraper-start-url,price,location,address,type,nobeds,nobath,sqft_price,size,pagination,pagination-href
"1647919142-84","https://www.edgeprop.my/buy/johor/all-residential?page=903","RM 680,000","Taman Bukit Indah","Jalan Indah, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 485/sqft","1,400 sqft","",""
"1647923869-15613","https://www.edgeprop.my/buy/johor/all-residential?page=127","RM 580,000EdgeProp Only","Taman Bukit Indah","Jalan Indah, Johor Bahru, Johor","Landed","3 beds","3 bath","RM -","- sqft","",""
"1647922584-11865","https://www.edgeprop.my/buy/johor/all-residential?page=314","RM 1,230,000EdgeProp Only","Taman Nusa Duta","Johor Bahru, Johor","Landed","4 + 1 beds","5 bath","RM 366/sqft","3,360 sqft","",""
"1647919165-156","https://www.edgeprop.my/buy/johor/all-residential?page=899","RM 830,000","Taman Mutiara Rini","Off Jalan Gelang Patah, Skudai, Johor","Landed","4 beds","3 bath","RM 223/sqft","3,717 sqft","",""
"1647921604-8693","https://www.edgeprop.my/buy/johor/all-residential?page=473","RM 438,000","Damai Jaya Single Storey Renovated, Full Loan","Damai Jaya Jalan Aman, Skudai, Johor","Landed","4 beds","2 bath","RM 284/sqft","1,540 sqft","",""
"1647924062-16217","https://www.edgeprop.my/buy/johor/all-residential?page=96","RM 550,000EdgeProp Only","Taman Mutiara Rini","Off Jalan Gelang Patah, Skudai, Johor","Landed","4 beds","3 bath","RM 357/sqft","1,540 sqft","",""
"1647919997-3066","https://www.edgeprop.my/buy/johor/all-residential?page=754","RM 218,000EdgeProp Only","Apartment Putri Ria, Bandar Baru Kota Putri","Jalan Bayan 45, Bandar Baru Kota Puteri, Pasir Gudang, Masai, Johor","Non Landed","3 beds","2 bath","RM 229/sqft","950 sqft","",""
"1647922996-12952","https://www.edgeprop.my/buy/johor/all-residential?page=260","RM 3,380,000EdgeProp Only","Bukit Kesenangan","Jalan Abdul Samad,, Johor Bahru, Johor","Landed","8 beds","8 bath","6 carpark","RM 412/sqft","",""
"1647919631-1778","https://www.edgeprop.my/buy/johor/all-residential?page=818","RM 580,000","Tmn Desa Tebrau (bumi Lot) @ 2 sty house for sale","Johor Bahru, Johor","Landed","4 beds","3 bath","RM -","- sqft","",""
"1647921398-7999","https://www.edgeprop.my/buy/johor/all-residential?page=507","RM 618,000","Jalan Indah 19/1A","Bukit Indah, Johor","Landed","5 beds","4 bath","RM 330/sqft","1,870 sqft","",""
